"cuenta.numcta","cuenta.numsucursal","null.saldonuevo"
"C-00012","22","71932.2336"
"C-00288","22","68892.9948"
"C-00577","22","84811.5144"
"C-00618","22","136202.14800000002"
"C-00734","22","155801.8692"
"C-00781","22","84966.732"
"C-00962","22","60601.3596"
"C-01167","22","83310.2712"
"C-01197","22","122085.74880000002"
"C-01422","22","138086.9748"
"C-01467","22","56781.853200000005"
"C-02011","22","33060.366"
"C-02309","22","123776.532"
"C-02327","22","19361.181600000004"
"C-02391","22","7528.161600000001"
"C-02433","22","42716.71080000001"
"C-02817","22","16043.4648"
"C-02862","22","128082.75120000001"
"C-03090","22","78049.12680000001"
"C-03312","22","40292.186400000006"
"C-03520","22","134803.116"
"C-03565","22","156955.2552"
"C-03846","22","49575.434400000006"
"C-04086","22","76563.04680000001"
"C-04167","22","84950.28360000001"
"C-04193","22","36839.340000000004"
"C-04303","22","77079.6324"
"C-04526","22","35176.0968"
"C-04587","22","51110.46000000001"
"C-04783","22","138814.91640000002"
"C-04839","22","104561.9388"
"C-04917","22","123106.55400000002"
"C-05099","22","109475.496"
"C-05407","22","127174.89240000001"
"C-05417","22","111834.3024"
"C-06578","22","93465.95400000001"
"C-06606","22","67866.3684"
"C-06815","22","48376.1592"
"C-06878","22","90405.56880000001"
"C-06936","22","94184.05680000002"
"C-06993","22","161763.81480000002"
"C-07389","22","96897.9996"
"C-07511","22","77795.83439999999"
"C-07526","22","145962.44280000002"
"C-07652","22","16456.078800000003"
"C-07665","22","84300.4152"
"C-07673","22","74654.14680000002"
"C-07897","22","36783.5256"
"C-07917","22","2523.5280000000002"
"C-08024","22","111078.17280000001"
"C-08134","22","145103.184"
"C-08327","22","5478.4944000000005"
"C-08628","22","121121.46"
"C-08815","22","150336.20520000003"
"C-08844","22","156161.7144"
"C-08878","22","113693.706"
"C-08911","22","22277.6136"
"C-09042","22","105908.7204"
"C-09089","22","53543.5272"
"C-09436","22","81630.2448"
"C-09455","22","65341.458000000006"
"C-09484","22","86078.3328"
"C-09644","22","125135.58240000001"
"C-09945","22","161652.93120000002"
"C-10066","22","12908.4948"
"C-10106","22","32074.5312"
"C-10203","22","29560.377600000003"
"C-10491","22","23153.796000000002"
"C-10635","22","86270.7132"
"C-10686","22","53501.655600000006"
"C-10823","22","43777.8324"
"C-10835","22","17664.598800000003"
