"cliente.idcliente","cliente.nombrecliente","cliente.direccion","cliente.estado","cliente.nacimiento"
"7051","CAYETANO SERRANO CRESPO","CALLE 1862 MZNA 44","DURANGO","Wed Mar 13 1985 00:00:00 GMT-0600 (hora estándar central)"
"7096","CRISTINA MONTORO MORENO","HUITZILIN MANZANA 204","PUEBLA","Thu Dec 01 1988 00:00:00 GMT-0600 (hora estándar central)"
"7117","PROBO VARGAS HERRERO","MANUEL GANDA NUM. 484","GUANAJUATO","Sun Feb 07 1993 00:00:00 GMT-0600 (hora estándar central)"
"7161","VALENTÍN REYES DÍAZ","CORUÑA MZNA 13","TABASCO","Mon Feb 07 1983 00:00:00 GMT-0600 (hora estándar central)"
"7198","LINO FERNÁNDEZ HERNÁNDEZ","JUAN ALDAMA NO. 187","ESTADO DE MÉXICO","Mon Mar 05 1990 00:00:00 GMT-0600 (hora estándar central)"
"7205","EDGAR SUÁREZ MONTERO","CERRO DE ZEMPOALA MANZANA 286","QUERÉTARO","Thu Apr 07 1994 00:00:00 GMT-0600 (hora estándar central)"
"7330","HÉCTOR CANO CANO","AV MEXICO NUM. 583","PUEBLA","Wed May 09 1990 00:00:00 GMT-0600 (hora estándar central)"
"7344","VELERIO PASCUAL LOZANO","PASEO DE LOS CHOPOS MANZANA 206","QUINTANA ROO","Mon Aug 01 1960 00:00:00 GMT-0600 (hora de verano central)"
"7352","TEODORA SANTANA RUBIO","CALLE ZARAGOZA NO. 91","TABASCO","Thu Aug 01 1991 00:00:00 GMT-0600 (hora estándar central)"
"7360","DARIO MARTÍN VELASCO","HIGUERA NUMERO MANZANA 212","CAMPECHE","Sat Jan 11 1969 00:00:00 GMT-0600 (hora estándar central)"
"7394","HUMBERTO AGUILAR SANTANA","GRAL. RINCON NO. 612","YUCATÁN","Sat Dec 12 1992 00:00:00 GMT-0600 (hora estándar central)"
"7417","ROCÍO SUÁREZ FERRER","BALMACEDA MZNA 170","NAYARIT","Wed Apr 14 1965 00:00:00 GMT-0600 (hora de verano central)"
"7485","FRANCISCA RUIZ BRAVO","C. JOSE FRANCISCO RUIZ MASSIEU MZNA 238","VERACRUZ","Sun Mar 06 1994 00:00:00 GMT-0600 (hora estándar central)"
"7488","MAURICIO CALVO LOZANO","DOCTOR MORA Y VALLE NUM. 618","COAHUILA","Sat Dec 25 1965 00:00:00 GMT-0600 (hora estándar central)"
"7535","SALVIO REY SANZ","CAOBAN NUM. 307","AGUASCALIENTES","Sat Aug 07 1976 00:00:00 GMT-0600 (hora estándar central)"
"7561","JOSEFA GIL DÍEZ","LERDO MANZANA 701","CHIAPAS","Wed May 20 1959 00:00:00 GMT-0600 (hora de verano central)"
"7590","MOHAMED DELGADO BRAVO","CDA. DE FRESNO NUM. 712","SINALOA","Sat Jun 07 1975 00:00:00 GMT-0600 (hora estándar central)"
"7665","CIRILO RAMOS ALONSO","CALLE DE MINAS MANZANA 231","CDMX","Sat Sep 24 1988 00:00:00 GMT-0600 (hora estándar central)"
"7719","AQUILES GONZÁLEZ LORENZO","AVENIDA SAUCES MZNA 311","NAYARIT","Sun Apr 08 1979 00:00:00 GMT-0600 (hora estándar central)"
