"cliente.idcliente","cliente.nombrecliente","cliente.direccion","cliente.estado","cliente.nacimiento","ctacliente.numcta","cuenta.numsucursal","cuenta.saldo","cuenta.fecha"
"2","JULIO FERNÁNDEZ VEGA","ANDADOR PUENTE MONZON MZNA 667","SAN LUIS POTOSÍ","Fri Jul 08 1977 00:00:00 GMT-0600 (hora estándar central)","C-00002","74","107311.4","Wed Mar 28 2012 00:00:00 GMT-0600 (hora estándar central)"
"12","TOMÁS ORTEGA LÓPEZ","BLVD. ADOLFO LOPEZ MATEOS MANZANA 610","QUERÉTARO","Sat May 26 1973 00:00:00 GMT-0600 (hora estándar central)","C-00012","22","66603.92","Tue Nov 25 2014 00:00:00 GMT-0600 (hora estándar central)"
"16","GONZALO MÉNDEZ GONZÁLEZ","CDA. DE FRESNO NO. 469","JALISCO","Fri Apr 08 1955 00:00:00 GMT-0600 (hora de verano central)","C-00016","52","100225.08","Wed Jan 18 2012 00:00:00 GMT-0600 (hora estándar central)"
"24","SAMUEL TORRES LOZANO","GRAL. RINCON MANZANA 170","YUCATÁN","Sat Mar 09 1974 00:00:00 GMT-0600 (hora estándar central)","C-00024","142","58544.24","Wed Apr 18 2012 00:00:00 GMT-0500 (hora de verano central)"
"31","ANIANO NAVARRO MORENO","AV LAS TORRES NO. 480","GUANAJUATO","Mon Jan 24 1977 00:00:00 GMT-0600 (hora estándar central)","C-00031","126","120461.96","Tue May 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"48","DIEGO VIDAL LORENZO","GUERRERO NUM. 522","CDMX","Wed Oct 09 1985 00:00:00 GMT-0600 (hora estándar central)","C-00048","119","110657.79","Fri Aug 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"54","LEANDRO CALVO RAMOS","CAOBA MZNA 620","ESTADO DE MÉXICO","Mon Sep 19 1955 00:00:00 GMT-0600 (hora de verano central)","C-00054","126","81676.28","Thu Oct 31 2013 00:00:00 GMT-0600 (hora estándar central)"
"58","ROBERTO VIDAL ARIAS","AV. ERMITA MZNA 114","GUERRERO","Fri Feb 17 1995 00:00:00 GMT-0600 (hora estándar central)","C-00058","146","51436.37","Sun Mar 02 2014 00:00:00 GMT-0600 (hora estándar central)"
"59","GUZMÁN PEÑA SANTANA","CALLE TABASCO NÚMERO 349","NAYARIT","Sat Jan 01 1977 00:00:00 GMT-0600 (hora estándar central)","C-00059","74","35180.37","Mon Oct 22 2012 00:00:00 GMT-0500 (hora de verano central)"
"67","CONSTANTINO PASTOR FLORES","PUERTO ACAPULCO NÚMERO 65","GUERRERO","Fri Jul 20 1984 00:00:00 GMT-0600 (hora estándar central)","C-00067","68","130867.03","Sun Aug 24 2014 00:00:00 GMT-0500 (hora de verano central)"
"78","LINO SOTO MARTÍN","AV. PALMIRA MZNA 215","COAHUILA","Sun Jun 02 1985 00:00:00 GMT-0600 (hora estándar central)","C-00078","73","42672","Thu Jan 10 2013 00:00:00 GMT-0600 (hora estándar central)"
"80","CARMEN CAMBIL CAMPOS","TENTEL NO. 691","GUERRERO","Mon Sep 24 1979 00:00:00 GMT-0600 (hora estándar central)","C-00080","66","12035.44","Fri Jun 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"81","JACOBO DÍAZ REYES","CALLE LAZARO CARDENAS NÚMERO 610","NAYARIT","Thu Apr 09 1987 00:00:00 GMT-0600 (hora estándar central)","C-00081","126","87148.32","Thu Oct 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"83","JACINTO GUTIÉRREZ MÁRQUEZ","GRAL. RINCON NUM. 35","PUEBLA","Sun Aug 11 1985 00:00:00 GMT-0600 (hora estándar central)","C-00083","20","1234.59","Sat Dec 29 2012 00:00:00 GMT-0600 (hora estándar central)"
"84","MIGUEL SÁNCHEZ FERRER","PRIV. ABASOLO NO. 460","MICHOACÁN","Wed Apr 09 1969 00:00:00 GMT-0600 (hora de verano central)","C-00084","146","118856.43","Sun Jun 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"86","CESÁREO ORTEGA LÓPEZ","MANUEL GUTIERREZ NAJERA MANZANA 379","CAMPECHE","Sun Sep 21 1975 00:00:00 GMT-0600 (hora estándar central)","C-00086","73","28860.24","Sat Sep 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"88","ARCADIO CORTÉS VEGA","SABADEL MANZANA 46","ESTADO DE MÉXICO","Tue Aug 20 1974 00:00:00 GMT-0600 (hora estándar central)","C-00088","52","32001.29","Fri Aug 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"89","SIMÓN CABALLERO DURÁN","AV PACIFICO NUM. 347","AGUASCALIENTES","Sat Oct 20 1979 00:00:00 GMT-0600 (hora estándar central)","C-00089","20","102958.98","Fri Mar 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"90","AARÓN GÓMEZ PARRA","PIEDRAS NEGRAS NUM. 561","MICHOACÁN","Tue Sep 14 1982 00:00:00 GMT-0600 (hora estándar central)","C-00090","52","15797.95","Tue Jul 22 2014 00:00:00 GMT-0500 (hora de verano central)"
