"cuenta.numcta","cuenta.numsucursal","cuenta.saldo","cuenta.fecha"
"C-00002","74","107311.4","Wed Mar 28 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00012","22","66603.92","Tue Nov 25 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00016","52","100225.08","Wed Jan 18 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00024","142","58544.24","Wed Apr 18 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00031","126","120461.96","Tue May 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00048","119","110657.79","Fri Aug 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00054","126","81676.28","Thu Oct 31 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00058","146","51436.37","Sun Mar 02 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00059","74","35180.37","Mon Oct 22 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00067","68","130867.03","Sun Aug 24 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00078","73","42672","Thu Jan 10 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00080","66","12035.44","Fri Jun 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00081","126","87148.32","Thu Oct 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00083","20","1234.59","Sat Dec 29 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00084","146","118856.43","Sun Jun 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00086","73","28860.24","Sat Sep 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00088","52","32001.29","Fri Aug 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00089","20","102958.98","Fri Mar 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00090","52","15797.95","Tue Jul 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00094","142","12331.04","Sun Nov 23 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00099","74","38232.68","Sat Oct 26 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00100","85","38593.79","Sat Mar 08 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00107","154","137739.67","Sat Apr 14 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00121","142","131533.45","Sat Feb 02 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00131","4","4276.06","Thu Mar 07 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00142","141","121846.99","Thu Jan 12 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00145","16","34033.22","Sat Feb 22 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00168","101","96331.8","Fri Jan 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00171","64","35196.3","Thu Feb 23 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00173","37","142253.14","Thu Oct 02 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00189","119","8030.21","Sun Mar 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00191","70","15758.24","Fri Aug 23 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00194","141","63353.09","Sun Nov 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00202","74","7046.89","Thu Feb 09 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00218","125","144303.92","Sun Jul 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00231","73","43504.21","Wed Aug 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00234","70","103923","Mon Nov 24 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00239","101","10395.67","Wed Sep 12 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00242","142","130031.9","Wed Dec 26 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00245","152","148313.77","Wed Dec 10 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00246","23","89117.38","Thu Mar 14 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00260","141","40026.36","Fri May 04 2012 00:00:00 GMT-0500 (hora de verano central)"
